,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
328,두부,,,,,,,,,,,,,,,,,,
329,두부,무,,,,,,,,,,,,,,,,,
330,두부,,,,,,,,,,,,,,,,,,
331,동물복지유정란,,,,,,,,,,,,,,,,,,
332,동물복지유정란,,,,,,,,,,,,,,,,,,
333,유정란/친환경,,,,,,,,,,,,,,,,,,
334,유정란/친환경,,,,,,,,,,,,,,,,,,
335,브로컬리,,,,,,,,,,,,,,,,,,
336,유정란/친환경,,,,,,,,,,,,,,,,,,
337,두부,유정란/친환경,찹쌀백미/유,,,,,,,,,,,,,,,,
338,대파,,,,,,,,,,,,,,,,,,
339,오분도미/유,백미/유,,,,,,,,,,,,,,,,,
340,두부,콩나물,어린잎채소,,,,,,,,,,,,,,,,
341,유정란/친환경,두유,,,,,,,,,,,,,,,,,
342,찌개용두부,,,,,,,,,,,,,,,,,,
343,양배추,,,,,,,,,,,,,,,,,,
344,동물복지유정란,찹쌀백미/유,두유,,,,,,,,,,,,,,,,
345,유정란/친환경,,,,,,,,,,,,,,,,,,
346,대파,,,,,,,,,,,,,,,,,,
347,당근,당근,,,,,,,,,,,,,,,,,
348,동물복지유정란,대파,,,,,,,,,,,,,,,,,
349,양파,찌개용두부,,,,,,,,,,,,,,,,,
350,찌개용두부,,,,,,,,,,,,,,,,,,
351,두부,동물복지유정란,월동무,,,,,,,,,,,,,,,,
352,시금치,월동무,,,,,,,,,,,,,,,,,
353,유정란/친환경,,,,,,,,,,,,,,,,,,
354,유정란/친환경,,,,,,,,,,,,,,,,,,
355,두부,부추,,,,,,,,,,,,,,,,,
356,양파,,,,,,,,,,,,,,,,,,
357,두부,,,,,,,,,,,,,,,,,,
358,두부,오이,,,,,,,,,,,,,,,,,
359,양파,당근,,,,,,,,,,,,,,,,,
360,유정란/친환경,오이,,,,,,,,,,,,,,,,,
361,오분도미/유,,,,,,,,,,,,,,,,,,
362,찌개용두부,양배추,,,,,,,,,,,,,,,,,
363,중파,,,,,,,,,,,,,,,,,,
364,유정란/친환경,,,,,,,,,,,,,,,,,,
365,오이,콩나물,찌개용두부,,,,,,,,,,,,,,,,
366,유정란/친환경,,,,,,,,,,,,,,,,,,
367,유정란/친환경,찌개용두부,,,,,,,,,,,,,,,,,
368,동물복지유정란,부추,,,,,,,,,,,,,,,,,
369,부추,,,,,,,,,,,,,,,,,,
370,유기농우유,,,,,,,,,,,,,,,,,,
