,회원번호,주문일시,전체물품명
533,56570880,2021-09-20,애호박$무$대파$가지$당면
534,56570880,2021-10-01,유정란/친환경$콩나물$백미/유$팽이버섯
535,56570880,2021-10-12,방울토마토/대추형$시금치$가지$깻잎
536,56570880,2021-10-16,유정란/친환경$사과
537,56570880,2021-10-29,두부$무
538,56570880,2021-10-31,유기농저지방우유
539,56576448,2021-02-12,상추$백미/유$대파$느타리버섯
540,56576448,2021-03-12,상추
541,56576448,2021-03-22,대파$양배추
542,56576448,2021-04-19,유정란/친환경$오이
543,56576448,2021-04-30,오이
544,56576448,2021-05-24,얼갈이$부추
545,56576448,2021-06-19,부추$당면
546,56576448,2021-06-21,찌개용두부
547,56576448,2021-06-28,오이
548,56576448,2021-07-12,오이$상추$찌개용두부
549,56576448,2021-08-09,백미/유
550,56576448,2021-08-18,백미/유
551,56576448,2021-08-21,찌개용두부
552,56576448,2021-09-14,부추
553,56576448,2021-09-27,깻잎
554,56576448,2021-10-16,상추$백미/유
555,56576448,2021-10-19,시금치
556,56646976,2021-03-10,유정란/친환경$콩나물$도토리묵
557,56646976,2021-03-20,당근
558,56646976,2021-04-24,두부$당근$도토리묵
559,56646976,2021-05-09,콩국물$유정란/친환경
560,56646976,2021-05-18,콩국물$두부$유정란/친환경$중파
561,56646976,2021-06-01,두부
562,56646976,2021-06-08,콩국물$동물복지유정란
563,56646976,2021-06-15,콩국물$동물복지유정란
564,56646976,2021-06-30,콩국물
565,56646976,2021-07-28,두부
566,56646976,2021-08-10,콩국물
567,56646976,2021-08-17,콩국물
568,56646976,2021-08-28,콩국물
569,56646976,2021-09-07,콩국물
570,56646976,2021-09-13,두부
571,56646976,2021-09-20,유정란/친환경$중파$얼음식혜
572,56646976,2021-09-28,동물복지유정란
573,56646976,2021-10-11,두부$유정란/친환경$유정란/친환경$콩나물
574,56646976,2021-10-25,두부$유정란/친환경$유정란/친환경
575,56747200,2021-02-25,두부$동물복지유정란
576,56747200,2021-04-22,참기름
577,56747200,2021-04-29,얼음식혜
578,56747200,2021-05-20,완숙토마토
579,56747200,2021-06-03,사과/$완숙토마토$중파$황토숙주나물$얼음식혜
580,56747200,2021-06-10,완숙토마토
581,56747200,2021-06-21,무
582,56747200,2021-06-23,완숙토마토
583,56747200,2021-07-05,어린잎채소
584,56747200,2021-08-13,유정란/친환경$오이
585,56747200,2021-10-07,두부
586,57250176,2021-02-04,상추
587,57250176,2021-03-11,콩나물$상추$시금치$월동무
588,57272448,2021-02-24,닭가슴살
589,57272448,2021-04-28,콩나물$찌개용두부$닭가슴살
590,57272448,2021-05-19,유정란/친환경$닭가슴살
591,57272448,2021-05-31,중파
592,57272448,2021-08-10,두부
593,57272448,2021-08-14,유정란/친환경$당근
594,57272448,2021-08-31,찌개용두부
595,57272448,2021-09-11,오이$중파
